start page,end page,topic name
12,13,தமிழ் பணி தொண்டு 
14,18,தமிழ் பணி தொண்டு 
19,20,"பாரதியார், காளமேகப் புலவர், அழகிய சொக்கநாதர், நாட்டுப்புறப் பாட்டு, சித்தர் பாடல்கள்"
21,25,மரபு கவிதை 
26,28,இலக்கணக்குறிப்பு
29,29,தமிழ்நாடு
31,31,பிழை திருத்தம்
31,31,இலக்கணக்குறிப்பு
32,32,சொற்றொடர்
32,32,"வினைமுற்று, வினையெச்சம், வினையாலணையும் பெயர், தொழிற்பெயர், வேர்ச்சொல் "
33,33,சொற்றொடர்
34,34,ஆங்கில பிற மொழி சொல்லறிதல்
36,40,சமய முன்னோடிகள் 
41,42,பாரதியார்
43,45,எட்டுத்தொகை பத்துப்பாட்டு
46,49,சிறுகதை
50,53,இலக்கணக்குறிப்பு
55,55,புதுக்கவிதை
55,55,இலக்கணக்குறிப்பு
56,56,இலக்கணக்குறிப்பு
56,56,"பாரதியார்,"
58,58,ஆங்கில பிற மொழி சொல்லறிதல்
60,63,
64,65,"அறநூல்கள் - நாலடியார், நான்மணிக்கடிகை, பழமொழி நானூறு "
66,67,எட்டுத்தொகை பத்துப்பாட்டு
68,72,சிறுகதை
73,74,இலக்கணக்குறிப்பு
75,75,சிறுகதை
77,77,பழமொழி
78,78,பாரதியார்
78,78,"காளமேகப் புலவர், அழகிய சொக்கநாதர், சொற்றொடர்"
79,79,ஆங்கில பிற மொழி சொல்லறிதல்
80,83,திருக்குறள்
84,84,இலக்கணக்குறிப்பு
87,91,தமிழ் மொழிச் சிறப்பு
92,92,சமய இலக்கியம் 
93,94,எட்டுத்தொகை பத்துப்பாட்டு
95,99,தமிழ் மொழிச் சிறப்பு
100,101,இலக்கணக்குறிப்பு
103,103,எட்டுத்தொகை பத்துப்பாட்டு
106,106,சொற்றொடர்
107,107,ஆங்கில பிற மொழி சொல்லறிதல்
110,115,தமிழ் மொழிச் சிறப்பு  
116,116,உரைநடை ஆசிரியர்
117,120,சமய இலக்கியம் 
121,126,சிறுகதை- ஆசிரியர்
127,130,இலக்கணக்குறிப்பு
127,130,விடைக்கேற்ற வினா 
131,131,உரைநடை ஆசிரியர் 
133,133,இலக்கணக்குறிப்பு
133,133,சொற்றொடர்
135,135,இலக்கணக்குறிப்பு
136,136,ஆங்கில பிற மொழி சொல்லறிதல்
138,142,கலைகள்-சிற்பம்-ஓவியம்- பேச்சு- நாட்டுப்புற கலை
143,143,சிறுகதை- ஆசிரியர்
144,145,"குறவஞ்சி, பரணி, தூது, பள்ளு, சிந்து"
146,148,கம்பராமாயணம்
149,153,சிறுகதை- ஆசிரியர்
154,157,"அகநானூறு, புறநானூறு"
159,160,சொற்றொடர்
159,160,ஆங்கில பிற மொழி சொல்லறிதல் 
163,163,ஆங்கில பிற மொழி சொல்லறிதல் 
164,167,திருக்குறள்
170,174,சமுதாயத் தொண்டு
175,175,சிறுகதை- ஆசிரியர்
176,177,"குறவஞ்சி, பரணி, தூது, பள்ளு, சிந்து"
178,180,"சிலப்பதிகாரம், மணிமேகலை"
181,185,தமிழ் மகளிரின் சிறப்பு 
186,187,தமிழ் மொழிச் சிறப்பு
188,188,"குறவஞ்சி, பரணி, தூது, பள்ளு, சிந்து"
190,190,ஆங்கில பிற மொழி சொல்லறிதல் 
190,190,சொற்றொடர்
191,191,பாரதிதாசன்
191,191,இலக்கணக் குறிப்பு
192,192,ஆங்கில பிற மொழி சொல்லறிதல் 
194,197,"அறநூல்கள் - நாலடியார், நான்மணிக்கடிகை, பழமொழி நானூறு "
198,198,சிறுகதை- ஆசிரியர்
199,200,மரபு கவிதை
201,204,சமய முன்னோடிகள் 
205,206,இலக்கணக்குறிப்பு
207,207,"அறநூல்கள் - நாலடியார், நான்மணிக்கடிகை, பழமொழி நானூறு "
207,207,இலக்கணக்குறிப்பு
209,209,சொற்றொடர் 
209,209,ஆங்கில பிற மொழி சொல்லறிதல் 
210,210,பிரித்து எழுதுக 
210,210,சமய முன்னோடிகள் 
210,210,ஆங்கில பிற மொழி சொல்லறிதல் 
211,211,
214,220,சிறுகதை- ஆசிரியர்
221,221,சிறுகதை- ஆசிரியர்
222,225,சமய இலக்கியம் 
226,230,சிறுகதை- ஆசிரியர்
231,232,இலக்கணக்குறிப்பு
233,233,சிறுகதை- ஆசிரியர்
235,235,உவமை
239,239,ஆங்கில பிற மொழி சொல்லறிதல் 
240,247,திருக்குறள் 
