start page,end page,topic name
12,17,தமிழ்மொழி சிறப்பு
18,19,புதுக்கவிதை 
20,22,"குறவஞ்சி, பரணி, தூது, பள்ளு, சிந்து"
23,27,தமிழ்மொழி சிறப்பு
28,35,"சொற்றொடர், தன்வினை, பிறவினை, செய்வினை, 
செயப்பாட்டுவினை, இலக்கணக் குறிப்பு, வேர்ச்சொல் "
37,40,"ஆங்கில பிற மொழி சொல்லறிதல், வினைமுற்று, வினையெச்சம், வினையாலணையும் பெயர், தொழிற்பெயர், வேர்ச்சொல், தன்வினை, பிறவினை, செய்வினை, 
செயப்பாட்டுவினை, பழமொழி "
42,47,தமிழ்நாடு
48,49,சிறுகதை- ஆசிரியர்
50,53,சமய இலக்கியம் 
54,56,அகநானூறு புறநானூறு
57,61,சிறுகதை- ஆசிரியர்
66,67,தமிழ்நாடு
68,70,"பிழை திருத்தம், பழமொழி "
69,72,"நாமக்கல் கவிஞர், கவிமணி தேசிய விநாயகனார், சொற்றொடர், ஆங்கில/ பிற மொழி சொல்லறிதல்"
74,77,கலைகள்-சிற்பம்-ஓவியம்- பேச்சு- நாட்டுப்புற கலை
78,81,"சிலப்பதிகாரம், மணிமேகலை"
82,87,தமிழ்நாடு
88,90,இலக்கணக்குறிப்பு
91,93,"தமிழ்நாடு, பிழை திருத்தம்"
94,96,"பிழை திருத்தம், பிரித்து எழுதுக, சொற்றொடர், வரிசை படுத்துதல்"
97,104,திருக்குறள் 
106,112,தமிழ்நாடு
113,114,மரபுக் கவிளத
115,116,"அறநூல்கள் - நாலடியார், நான்மணிக்கடிகை, பழமொழி நானூறு "
117,122,தமிழ்நாடு
123,125,இலக்கணக்குறிப்பு
126,128,"தமிழ்நாடு, ஆங்கில பிற மொழி சொல்லறிதல் "
129,131,"ஆங்கில பிற மொழி சொல்லறிதல்,  சொற்றொடர், பிழை திருத்தம்,"
134,139,தமிழ் மகளிரின் சிறப்பு 
140,142,பாரதிதாசன் 
143,144,"அறநூல்கள் - நாலடியார், நான்மணிக்கடிகை, பழமொழி நானூறு "
145,148,"நேரு,காந்தி,அம்பேத்கர், தமிழ்நாடு"
149,153,இலக்கணக்குறிப்பு
154,155,"அறநூல்கள் - நாலடியார், நான்மணிக்கடிகை, பழமொழி நானூறு "
156,156,"பிழை திருத்தம், சொற்றொடர் "
157,157,சமுதாயத் தொண்டு
159,159, ஆங்கில பிற மொழி சொல்லறிதல்
162,166,கலைகள்-சிற்பம்-ஓவியம்- பேச்சு- நாட்டுப்புற கலை
167,170,கம்பராமாயணம்
171,172,"சமய முன்னோடிகள், சமய இலக்கியம் "
173,177,சிறுகதை- ஆசிரியர்
177,177,கலைகள்-சிற்பம்-ஓவியம்- பேச்சு- நாட்டுப்புற கலை
178,181,இலக்கணக்‌ குறிப்பு
182,183,கம்பராமாயணம்
183,183,சொற்றொடர் 
184,184,"பிழை திருத்தம், இலக்கணக்‌ குறிப்பு"
185,185,"சொற்றொடர், ஆங்கில பிற மொழி சொல்லறிதல்"
187,189,திருக்குறள் 
192,195,சமுதாயத் தொண்டு
196,198,"சிலப்பதிகாரம், மணிமேகலை"
199,200,"குறவஞ்சி, பரணி, தூது, பள்ளு, சிந்து"
201,203,அகநானூறு புறநானூறு
204,209,தமிழ்நாடு
210,211,இலக்கணக்குறிப்பு
212,212,சமுதாயத் தொண்டு
215,215,"பிழை திருத்தம், இலக்கணக்‌ குறிப்பு, சொற்றொடர், மரபு கவிதை"
216,217,"ஆங்கில பிற மொழி சொல்லறிதல், இலக்கணக்‌ குறிப்பு, சிறுகதை- ஆசிரியர்"
220,224,சமுதாயத் தொண்டு 
224,224,பாரதிதாசன்
225,226,புதுக்கவிதை
226,226,இலக்கணக்குறிப்பு
227,228,புதுக்கவிதை
229,229,"சிலப்பதிகாரம், மணிமேகலை, இலக்கணக்குறிப்பு"
230,232,புதுக்கவிதை 
233,236,இலக்கணக் குறிப்பு
238,238,"சொற்றொடர், குறவஞ்சி, பரணி, தூது, பள்ளு, சிந்து"
229,230,"இலக்கணக்குறிப்பு, ஆங்கில பிற மொழி சொல்லறிதல்"
242,246,உரைநடை ஆசிரியர்  
247,248,புதுக்கவிதை
249,250,"எட்டுத்தொகை பத்துப்பாட்டு, இலக்கணக்குறிப்பு "
251,255,சிறுகதை
256,257,இலக்கணக்குறிப்பு
258,258,"இலக்கணக்குறிப்பு, மரபுக் கவிதை"
260,260,"சொற்றொடர்,"
261,261,"இலக்கணக்குறிப்பு, சமய முன்னோடிகள்"
262,262,ஆங்கில பிற மொழி சொல்லறிதல்
264,271,திருக்குறள் 
