start page,end page,topic name
12,14,பாரதியார் 
15,17,"ஒலி வேறுபாடு, அறநூல்கள் - நாலடியார், நான்மணிக்கடிகை, பழமொழி நானூறு , இலக்கணக் குறிப்பு"
18,22,தமிழ் மொழிச் சிறப்பு  
23,26,"உரைநடை ஆசிரியர், ஓரெழுத்து ஒருமொழி"
27,29,இலக்கணக்குறிப்பு
30,32,"வரிசை படுத்துதல், ஒலி வேறுபாடு, பிழை திருத்தம், ஆங்கில பிற மொழி சொல்லறிதல், சொற்றொடர் "
34,36,மரபுக் கவிதை 
37,38,"நாட்டுப்புறப் பாட்டு, சித்தர் பாடல்கள்"
40,43,தமிழ்நாடு
44,46,தமிழ்நாடு
47,49,"வினைமுற்று, வினையெச்சம், வினையாலணையும் பெயர், தொழிற்பெயர், வேர்ச்சொல் "
50,52,"சொற்றொடர், வேர்ச்சொல், ஆங்கில பிற மொழி சொல்லறிதல்"
53,56,திருக்குறள் 
58,59,"சிலப்பதிகாரம், மணிமேகலை"
60,62,சமய இலக்கியம் 
63,68,தமிழ் மொழிச் சிறப்பு  
69,72,சிறுகதை- ஆசிரியர்
73,75,இலக்கணக்‌ குறிப்பு
76,78,"உவமை, ஆங்கில/ பிற மொழி சொல்லறிதல், பழமொழிகள் "
80,81,சமய முன்னோடிகள் 
82,83,சிறுகதை- ஆசிரியர்
84,88,உரைநடை ஆசிரியர்
89,93,சிறுகதை- ஆசிரியர்
94,98,இலக்கணக்‌ குறிப்பு
101,102,"சொற்றொடர், ஆங்கில பிற மொழி சொல்லறிதல்"
104,105,சமய முன்னோடிகள் 
106,107,"எட்டுத்தொகை, பத்துப்பாட்டு"
108,113,கலைகள்-சிற்பம்-ஓவியம்- பேச்சு- நாட்டுப்புற கலை 
114,119,கலைகள்-சிற்பம்-ஓவியம்- பேச்சு- நாட்டுப்புற கலை 
120,124,"இலக்கணக்குறிப்பு, சொற்றொடர்"
125,127,"இலக்கணக்குறிப்பு, ஆங்கில/ பிற மொழி சொல்லறிதல்"
128,130,திருக்குறள் 
132,133,"எட்டுத்தொகை, பத்துப்பாட்டு"
134,136,"நாட்டுப்புறப் பாட்டு, சித்தர் பாடல்கள்"
137,142,தமிழ்நாடு
143,148,சிறுகதை 
149,150,இலக்கணக் குறிப்பு
151,152,"சொற்றொடர், ஆங்கில பிற மொழி சொல்லறிதல்"
154,156,"குறவஞ்சி, பரணி, தூது, பள்ளு, சிந்து"
157,159,புதுக்கவிதை
160,164,சமுதாயத் தொண்டு
165,170,"அறநூல்கள் - நாலடியார், நான்மணிக்கடிகை, பழமொழி நானூறு"
171,173,இலக்கணக் குறிப்பு
174,176,"இலக்கணக் குறிப்பு, பிழைத் திருத்தம், ஆங்கில/ பிற மொழி சொல்லறிதல்"
178,179,சமய முன்னோடிகள் 
180,181,"ஜி.யு .போப்,வீரமாமுனிவர்"
182,186,சமுதாயத் தொண்டு
187,191,சிறுகதை 
192,194,"இலக்கணக் குறிப்பு, பா வகை"
195,197,"சொற்றொடர், ஆங்கில பிற மொழி சொல்லறிதல்"
198,200,திருக்குறள் 
202,204,சமய இலக்கியம்
205,207,புதுக்கவிதை 
208,212,சமுதாயத் தொண்டு
213,218,சிறுகதை 
219,221,இலக்கணக் குறிப்பு
222,223,"விடைக்கேற்ற வினா, ஆங்கில பிற மொழி சொல்லறிதல்"
224,231,திருக்குறள் 
