start page,end page,topic name
12,14,"நாமக்கல் கவிஞர், கவிமணி தேசிய விநாயகனார்"
15,17,மரபு கவிதை 
18,23,தமிழ் மொழிச் சிறப்பு 
24,27,கலைகள்-சிற்பம்-ஓவியம்- பேச்சு- நாட்டுப்புற கலை 
28,31,இலக்கணக் குறிப்பு
33,34,"ஆங்கில/ பிற மொழி சொல்லறிதல், ஒலி வேறுபாடு"
36,38,மரபு கவிதை 
39,41,மரபு கவிதை 
42,47,தமிழ்நாடு
52,56,இலக்கணக்குறிப்பு
55,56,"பிழைத் திருத்தம், ஆங்கில/ பிற மொழி சொல்லறிதல்"
,,
57,60,திருக்குறள் 
62,63,புறநானூறு 
64,67,தமிழ் மொழிச் சிறப்பு  
68,72,சமுதாயத் தொண்டு 
73,76,உரைநடை ஆசிரியர்
77,84,"இலக்கணக் குறிப்பு, ஆங்கில/ பிற மொழி சொல்லறிதல்"
86,88,எட்டுத்தொகை பத்துப்பாட்டு
89,91,அகநானூறு புறநானூறு
92,97,தமிழ்நாடு
98,102,தமிழ்நாடு
103,106,இலக்கணக்குறிப்பு 
108,109,ஆங்கில/ பிற மொழி சொல்லறிதல்
110,112,பாரதிதாசன் 
113,114,"அறநூல்கள் - நாலடியார், நான்மணிக்கடிகை, பழமொழி நானூறு "
115,119,திருக்குறள் 
120,123,சிறுகதை- ஆசிரியர்
124,128,"ஓரெழுத்து ஒருமொழி, பகுபதம், பகாப்பதம்"
129,130, ஆங்கில/ பிற மொழி சொல்லறிதல்
132,134,புதுக்கவிதை
135,136,"பாரதியார், காளமேகப் புலவர், அழகிய சொக்கநாதர்"
137,142,கலைகள்-சிற்பம்-ஓவியம்- பேச்சு- நாட்டுப்புற கலை
143,148,தமிழ்நாடு
149,150,"வினைமுற்று, வினையெச்சம், வினையாலணையும் பெயர், தொழிற்பெயர், வேர்ச்சொல் "
151,153,"ஆங்கில/ பிற மொழி சொல்லறிதல்,இலக்கணக்குறிப்பு, "
154,156,திருக்குறள் 
158,159,"அறநூல்கள் - நாலடியார், நான்மணிக்கடிகை, பழமொழி நானூறு "
160,162,"நாட்டுப்புறப் பாட்டு, சித்தர் பாடல்கள்"
163,167,தமிழ்நாடு
168,171,உரைநடை ஆசிரியர்
172,173,இலக்கணக் குறிப்பு
175,176,"உவமை, ஆங்கில/ பிற மொழி சொல்லறிதல்"
178,180,சமய முன்னோடிகள்
181,182,சமய முன்னோடிகள்
183,188,சமய முன்னோடிகள் 
194,197,"இலக்கணக் குறிப்பு, ஆங்கில/ பிற மொழி சொல்லறிதல்"
198,200,திருக்குறள் 
202,204,மரபு கவிதை  
205,206,சிறுகதை 
207,210,சமுதாயத் தொண்டு 
211,216,சிறுகதை 
217,219,இலக்கணக்குறிப்பு
222,223, ஆங்கில/ பிற மொழி சொல்லறிதல்
224,231,திருக்குறள் 
